漢方名,ひらがな,フリガナ,検索用,配合生薬
当帰飲子,とうきいんし,トウキインシ,当帰飲子(とうきいんし),当帰、芍薬、川芎、防風、地黄、荊芥、黄耆、甘草、蒺藜子、何首烏
当帰建中湯,とうきけんちゅうとう,トウキケンチュウトウ,当帰建中湯(とうきけんちゅうとう),当帰、芍薬、桂皮、生姜、大棗、甘草
当帰散,とうきさん,トウキサン,当帰散(とうきさん),当帰、芍薬、川芎、黄芩、白朮
当帰四逆加呉茱萸生姜湯,とうきしぎゃくかごしゅゆしょうきょうとう,トウキシギャクカゴシュユショウキョウトウ,当帰四逆加呉茱萸生姜湯(とうきしぎゃくかごしゅゆしょうきょうとう),当帰、芍薬、桂皮、木通、細辛、甘草、大棗、呉茱萸、生姜
当帰四逆湯,とうきしぎゃくとう,トウキシギャクトウ,当帰四逆湯(とうきしぎゃくとう),当帰、芍薬、桂皮、細辛、木通、甘草、大棗
当帰芍薬散,とうきしゃくやくさん,トウキシャクヤクサン,当帰芍薬散(とうきしゃくやくさん),当帰、芍薬、川芎、白朮、茯苓、沢瀉
当帰湯,とうきとう,トウキトウ,当帰湯(とうきとう),当帰、半夏、桂皮、芍薬、厚朴、人参、黄耆、乾姜、山椒、甘草
当帰貝母苦参丸,とうきばいもくじんがん,トウキバイモクジンガン,当帰貝母苦参丸(とうきばいもくじんがん),当帰、苦参、貝母
独活葛根湯,どっかつかっこんとう,ドッカツカッコントウ,独活葛根湯(どっかつかっこんとう),葛根、桂皮、芍薬、麻黄、生姜、地黄、大棗、甘草、独活
独活湯,どっかつとう,ドッカツトウ,独活湯(どっかつとう),独活、羌活、防風、桂皮、大黄、沢瀉、当帰、桃仁、連翹、防已、黄柏、甘草
二朮湯,にじゅつとう,ニジュツトウ,二朮湯(にじゅつとう),蒼朮、白朮、茯苓、陳皮、半夏、天南星、威霊仙、和羌活、黄芩、香附子、生姜、甘草
二陳湯,にちんとう,ニチントウ,二陳湯(にちんとう),半夏、陳皮、茯苓、生姜、甘草
女神散,にょしんさん,ニョシンサン,女神散(にょしんさん),当帰、川芎、人参、白朮、甘草、香附子、桂皮、檳榔子、木香、丁子、黄芩、黄連、大黄
人参湯,にんじんとう,ニンジントウ,人参湯(にんじんとう),人参、甘草、白朮、乾姜
人参養栄湯,にんじんようえいとう,ニンジンヨウエイトウ,人参養栄湯(にんじんようえいとう),人参、黄耆、白朮、茯苓、甘草、当帰、芍薬、地黄、桂皮、陳皮、遠志、五味子
排膿散,はいのうさん,ハイノウサン,排膿散(はいのうさん),枳実、芍薬、桔梗
排膿散及湯,はいのうさんきゅうとう,ハイノウサンキュウトウ,排膿散(はいのうさんきゅうとう),枳実、芍薬、桔梗、甘草、生姜、大棗
排膿湯,はいのうとう,ハイノウトウ,排膿湯(はいのうとう),甘草、桔梗、生姜、大棗
麦門冬湯,ばくもんどうとう,バクモンドウトウ,麦門冬湯(ばくもんどうとう),麦門冬、半夏、大棗、人参、甘草、粳米
八味地黄丸,はちみじおうがん,ハチミジオウガン,八味地黄丸(はちみじおうがん),地黄、山茱萸、山薬、沢瀉、茯苓、牡丹皮、桂皮、附子
半夏厚朴湯,はんげこうぼくとう,ハンゲコウボクトウ,半夏厚朴湯(はんげこうぼくとう),半夏、厚朴、茯苓、生姜、蘇葉
半夏瀉心湯,はんげしゃしんとう,ハンゲシャシントウ,半夏瀉心湯(はんげしゃしんとう),半夏、黄芩、黄連、乾姜、人参、大棗、甘草
半夏白朮天麻湯,はんげびゃくじゅつてんまとう,ハンゲビャクジュツテンマトウ,半夏白朮天麻湯(はんげびゃくじゅつてんまとう),半夏、白朮、蒼朮、陳皮、茯苓、麦芽、天麻、生姜、神麹、黄耆、人参、沢瀉、黄柏、乾姜
白虎加人参湯,びゃっこかにんじんとう,ビャッコカニンジントウ,白虎加人参湯(びゃっこかにんじんとう),石膏、知母、粳米、甘草、人参
白虎湯,びゃっことう,ビャッコトウ,白虎湯(びゃっことう),石膏、知母、粳米、甘草
不換金正気散,ふかんきんしょうきさん,フカンキンショウキサン,不換金正気散(ふかんきんしょうきさん),白朮、厚朴、陳皮、大棗、生姜、半夏、甘草、藿香
茯苓飲,ぶくりょういん,ブクリョウイン,茯苓飲(ぶくりょういん),茯苓、白朮、人参、生姜、陳皮、枳実
茯苓沢瀉湯,ぶくりょうたくしゃとう,ブクリョウタクシャトウ,茯苓沢瀉湯(ぶくりょうたくしゃとう),茯苓、沢瀉、白朮、桂皮、甘草、生姜
附子理中湯,ぶしりちゅうとう,ブシリチュウトウ,附子理中湯(ぶしりちゅうとう),人参、甘草、白朮、乾姜、附子
分消湯,ぶんしょうとう,ブンショウトウ,分消湯(ぶんしょうとう),蒼朮、白朮、茯苓、陳皮、厚朴、香附子、猪苓、沢瀉、枳実、大腹皮、縮砂、木香、生姜、灯心草
平胃散,へいいさん,ヘイイサン,平胃散(へいいさん),白朮、厚朴、陳皮、大棗、甘草、生姜
防已黄耆湯,ぼういおうぎとう,ボウイオウギトウ,防已黄耆湯(ぼういおうぎとう),防已、黄耆、白朮、甘草、生姜、大棗
